"CATSFX","GENUS","SPECIES","SUBSPECIES","AGE","SEX","DATE","COUNTRY","STATE","COUNTY","SPECLOC","COLLCATNUM"
15374,"Melospiza","melodia","sanaka","AHY","M","27 Aug 2001","USA","Alaska","Aleutian Islands","Fox Islands, Samalga Island","JMM088"
15334,"Melospiza","melodia","sanaka","AHY","M","18 Jun 2001","USA","Alaska","Aleutian Islands","Fox Islands, Ugamak Island","KSW3864"
18514,"Melospiza","melodia","sanaka","AHY","M","18 Jun 2001","USA","Alaska","Aleutian Islands","Fox Islands, Ugamak Island","KSW3855"
15384,"Melospiza","melodia","sanaka","AHY","M","18 Jun 2001","USA","Alaska","Aleutian Islands","Fox Islands, Ugamak Island","KSW3857"
15335,"Melospiza","melodia","sanaka","AHY","M","18 Jun 2001","USA","Alaska","Aleutian Islands","Fox Islands, Ugamak Island","KSW3859"
11238,"Melospiza","melodia","sanaka","AHY","M","12 May 2000","USA","Alaska","Aleutian Islands","Fox Islands, Unalaska Island","KSW3347"
13903,"Melospiza","melodia","sanaka","AD","M","18 Jun 2001","USA","Alaska","Aleutian Islands","Ugamak Island","KSW3861"
28555,"Melospiza","melodia","sanaka","AD","M","18 May 2011","USA","Alaska","Kodiak Archipelag","Chirikof I., bluffs just east of West Point","JJW1093"
10091,"Melospiza","melodia","sanaka","AD","M","30 Jun 1999","USA","Alaska","Shumagin Islands","King Cove","CLP169"
10171,"Melospiza","melodia","sanaka","AHY","M","07 Jul 1999","USA","Alaska","Shumagin Islands","Popof Island, Sand Point","CLP237"
11379,"Melospiza","melodia","sanaka","AHY","M","07 Jul 1999","USA","Alaska","Shumagin Islands","Popof Island, Sand Point","CLP235"
10187,"Melospiza","melodia","sanaka","AHY","M","07 Jul 1999","USA","Alaska","Shumagin Islands","Sand Point","CLP233"
12142,"Melospiza","melodia","sanaka","AD","M","07 Jul 1999","USA","Alaska","Shumagin Islands","Sand Point","CLP236"
30144,"Melospiza","melodia","sanaka","AHY","M","03 Jun 2012","USA","Alaska","","Chirikof I.","JJW1553"
30139,"Melospiza","melodia","sanaka","AHY","M","03 Jun 2012","USA","Alaska","","Chirikof I.","JJW1555"
30141,"Melospiza","melodia","sanaka","AHY","M","03 Jun 2012","USA","Alaska","","Chirikof I.","JJW1558"
30142,"Melospiza","melodia","sanaka","AHY","M","03 Jun 2012","USA","Alaska","","Chirikof I.","JJW1560"
35424,"Melospiza","melodia","sanaka","AD","M","14 May 2014","USA","Alaska","","Chirikof I., east side of Southwest Anchorage","JJW2425"
35423,"Melospiza","melodia","sanaka","AD","M","14 May 2014","USA","Alaska","","Chirikof I., east side of Southwest Anchorage","JJW2426"
35421,"Melospiza","melodia","sanaka","AD","M","14 May 2014","USA","Alaska","","Chirikof I., east side of Southwest Anchorage","JJW2424"
27876,"Melospiza","melodia","sanaka","AD","M","16 May 2008","USA","Alaska","","Chirikof Island","UAMX5064"
27877,"Melospiza","melodia","sanaka","AD","M","16 May 2008","USA","Alaska","","Chirikof Island","UAMX5065"
27878,"Melospiza","melodia","sanaka","AD","M","16 May 2008","USA","Alaska","","Chirikof Island","UAMX5063"
31879,"Melospiza","melodia","sanaka","AD","M","08 Jul 2013","USA","Alaska","","Chirikof Island, Southwest Anchorage","JJW2066"
31880,"Melospiza","melodia","sanaka","AD","M","08 Jul 2013","USA","Alaska","","Chirikof Island, Southwest Anchorage","JJW2067"
35415,"Melospiza","melodia","sanaka","AD","M","13 May 2014","USA","Alaska","","Chirikof Island, West Point area","JJW2416"
35416,"Melospiza","melodia","sanaka","AD","M","13 May 2014","USA","Alaska","","Chirikof Island, West Point area","JJW2417"
29243,"Melospiza","melodia","sanaka","AD","M","19 May 2009","USA","Alaska","","Sanak Island","JJW1312"
29246,"Melospiza","melodia","sanaka","AD","M","19 May 2009","USA","Alaska","","Sanak Island","JJW1314"
29239,"Melospiza","melodia","sanaka","AD","M","19 May 2009","USA","Alaska","","Sanak Island","JJW1313"
