"CATSFX","SUBSPECIES","AGE","SEX","MASS","WCH","TL","TS","BL","BLH","BLW","SKL"
14714,"rufina","AHY","M",27.4,69.6,67.1,23.8,9.8,6.3,4.4,33.3
13912,"rufina","AD","M",29,70.1,63.4,23.7,9.8,6,5.1,34.4
13911,"rufina","AD","M",29.2,71.1,69.9,24.7,10.1,6.6,5.7,34.5
13937,"rufina","AD","M",27,72.6,65.4,24.7,10.4,6.1,5,33.5
11824,"rufina","AHY","M",27.5,68.9,62.7,20.2,9.9,6.1,4.9,34.7
11517,"rufina","AD","M",26.3,65.7,64.2,23.7,9.9,6.1,5.1,33.6
11516,"rufina","AD","M",24.2,65.9,70.3,24.2,9.3,6.2,5.1,33.7
13910,"rufina","AD","M",28.6,69.4,64.3,25,10.6,6.7,5.5,35
11552,"rufina","AHY","M",28.9,70.9,65.3,23.4,10.2,6.3,5.1,33.7
13919,"rufina","AD","M",28.2,71.1,66.1,24.4,11.2,6.5,4.9,35.4
11550,"rufina","AHY","M",30,72.7,63.3,23.9,10.1,6.5,4.6,35.4
11179,"rufina","AHY","M",30.6,74.3,71.8,25.4,11.9,6.8,5,36.1
11549,"rufina","AHY","M",30.1,74.8,66.7,23.6,10.2,6.9,4.3,34.6
11546,"rufina","AHY","M",28.3,74.9,68.9,23.2,11,6.2,4.4,35.3
11547,"rufina","AHY","M",28.9,75,69.8,23.9,10.7,6.7,4.1,35.2
13909,"rufina","AD","M",29.5,71.9,68.9,28.8,11.1,6.2,4.9,35.4
13908,"rufina","AD","M",29,74.1,70.5,25.8,10.4,6.1,4.4,34.4
11548,"rufina","AHY","M",30.9,71.4,63.6,23,10.4,6.4,4.7,36.2
13080,"rufina","AHY","M",28.8,70.6,68,24.3,11.4,6.4,5.4,36.2
13079,"rufina","AHY","M",30.6,71.9,68.5,24.9,11.8,7,5.1,36
35795,"rufina","AHY","M",26.4,67.2,61.2,24.3,9.3,5.7,5.1,33.9
14944,"rufina","AD","M",28.4,65.1,65.4,25.9,9.9,5.8,4.7,33.9
14942,"rufina","AD","M",24.8,70.8,66.4,23.6,9.5,6.5,5.1,33.3
14943,"rufina","AD","M",26.2,70,66,23.7,9.8,6.7,5.5,34.6
13920,"rufina","AD","M",27.7,72.9,68.9,25.2,25.2,5.8,5,35.3
