CATSFX,GENUS,SPECIES,SUBSPECIES,AGE,SEX,DATE,COUNTRY,STATE,COUNTY,SPECLOC,COLLCATNUM,MASS,WCH,TL,TS,BL,BLH,BLW,SKL
11237,Melospiza,melodia,sanaka,AHY,M,16-May-00,USA,Alaska,Aleutian Islands,"Fox Islands, Bogoslof Island",KSW3368,47,87.2,82.3,26.5,11.2,7.1,4.9,37.9
15374,Melospiza,melodia,sanaka,AHY,M,27-Aug-01,USA,Alaska,Aleutian Islands,"Fox Islands, Samalga Island",JMM088,46.3,84.9,81,27.2,12.8,6.9,6.1,38.4
15334,Melospiza,melodia,sanaka,AHY,M,18-Jun-01,USA,Alaska,Aleutian Islands,"Fox Islands, Ugamak Island",KSW3864,45.9,82,74.8,27.5,12.5,7,6.2,37.6
18514,Melospiza,melodia,sanaka,AHY,M,18-Jun-01,USA,Alaska,Aleutian Islands,"Fox Islands, Ugamak Island",KSW3855,47.5,82.7,78.6,27.4,12.1,7.3,5.6,39.4
15384,Melospiza,melodia,sanaka,AHY,M,18-Jun-01,USA,Alaska,Aleutian Islands,"Fox Islands, Ugamak Island",KSW3857,44.7,83.7,79.2,24.3,12.4,7,5.6,39.3
15335,Melospiza,melodia,sanaka,AHY,M,18-Jun-01,USA,Alaska,Aleutian Islands,"Fox Islands, Ugamak Island",KSW3859,47.2,84.1,75.8,28.4,12.8,7.7,5.9,39.4
11238,Melospiza,melodia,sanaka,AHY,M,12-May-00,USA,Alaska,Aleutian Islands,"Fox Islands, Unalaska Island",KSW3347,46.3,85.8,83.6,26.5,12.9,7,5.7,39.4
13903,Melospiza,melodia,sanaka,AD,M,18-Jun-01,USA,Alaska,Aleutian Islands,Ugamak Island,KSW3861,50.2,82.3,78.1,28,12.5,7,5,39.6
28555,Melospiza,melodia,sanaka,AD,M,18-May-11,USA,Alaska,Kodiak Archipelag,"Chirikof I., bluffs just east of West Point",JJW1093,47,88,84.5,27.7,12.3,6.4,5.2,39.4
10091,Melospiza,melodia,sanaka,AD,M,30-Jun-99,USA,Alaska,Shumagin Islands,King Cove,CLP169,44.6,84.8,75.7,26.2,11.9,5.8,8,38.1
