CATSFX,GENUS,SPECIES,SUBSPECIES,HYBRIDTYPE,AGE,SEX,DATE,COUNTRY,STATE,COUNTY,SPECLOC,COLLECTOR,CFIRSTNAME,COLLCATNUM,PREPARATOR,PFIRSTNAME,MASS,BODYCOND,REMARKS,DISPOS,AVAIL,SKINMEAS,EDWARDS,LATDEG,LATMIN,LONDEG,LONMIN
27830,Melospiza,melodia,caurina,,NST,F,13 Jun 2009,USA,Alaska,,"Cordova, Alaganik Slough",Winker,Kevin S,KSW5318,Winker,Kevin S,,OV:visible.,"Brain, heart, muscle, liver, bone, and pancreas on RNA-later.",1020,,,Z65c050,,,,
43443,Melospiza,melodia,insignis,,HY,F?,19 Oct 2019,USA,Alaska,Kodiak Archipelag,"Afognak I., Paramanof Bay",Withrow,Jack J,JJW4696,Withrow,Jack J,31.5,Fat:light; OV:?; SK:10% oss.; Molt:head and body;,with JJW 4695; gut saved; prep. 14 Nov 2019;,1220,,WCH:72.0; TL:73.8; TS:25.0; BL:10.8; BLH:5.8; BLW:5.0; SKL:36.3;,Z65c050,,,,
43444,Melospiza,melodia,insignis,,HY,M,19 Oct 2019,USA,Alaska,Kodiak Archipelag,"Afognak I., Paramanof Bay",Withrow,Jack J,JJW4695,Withrow,Jack J,37,Fat:light; TE:<1x1; SK:20% oss.; Molt:moderate head and body;,with JJW 4696 on beach rocks; gut saved; prep. 7 Nov 2019;,1230,,WCH:78.3; TL:74.3; TS:26.3; BL:11.2; BLH:6.5; BLW:5.2; SKL:36.9;,Z65c050,,,,
41074,Melospiza,melodia,insignis,,AHY,F,21 May 2017,USA,Alaska,Kodiak Archipelag,Bare Island (Kupreanof Strait),Withrow,Jack J,JJW3675,Withrow,Jack J,39,"Fat:light; OV:9x4.5, largest ova ~2.5x2.5; SK:100% oss.; Molt:none;",HAB:beach grass; edematous incubation patch; gut saved; prep. 3 Aug 2017;,1230,,WCH:77.4; TL:68.6; TS:25.5; BL:12.4; BLH:6.4; BLW:5.3; SKL:38.3;,Z65c050,,,,
28578,Melospiza,melodia,insignis,,AD,M,01 Jul 2011,USA,Alaska,Kodiak Archipelag,"Barren Is., Ushagat I.",Withrow,Jack J,JJW1142,Withrow,Jack J,40,Fat:trace; OV:13x13; SK:100% oss.;,singing; probably NOT parent of JJW1141; gut saved; prep. 14 July 2011;,1220,,WCH:78.2; TL:66.1; TS:26.4; BL:11.4; BLH:6.7; BLW:5.4; SKL:37.7;,Z65c050,,,,
28577,Melospiza,melodia,insignis,,HY,M,01 Jul 2011,USA,Alaska,Kodiak Archipelag,"Barren Is., Ushagat I., near large lake",Withrow,Jack J,JJW1141,Withrow,Jack J,41,Fat:trace; TE:1x1; SK:0% oss.;,probably NOT offspring of JJW1142; gut saved; prep. 12 July 2011;,1020,,WCH:81.2; TL:75.5; TS:26.8; BL:9.3; BLH:6.5; BLW:5.2; SKL:35.6;,Z65c050,,,,
37812,Melospiza,melodia,insignis,,U,M,27 Nov 2015,USA,Alaska,Kodiak Archipelag,Chiniak Lake,Withrow,Jack J,JJW3004,Withrow,Jack J,42,Fat:moderate; TE:1x1; SK:100% oss.; Molt:none;,HAB:beach grass; gut saved; prep. 3 Dec 2015;,1230,,WCH:80.7; TL:73.6; TS:26.0; BL:11.5; BLH:-; BLW:5.2; SKL:37.3;,Z65c050,,,,
37813,Melospiza,melodia,insignis,,U,M,27 Nov 2015,USA,Alaska,Kodiak Archipelag,Chiniak Lake,Withrow,Jack J,JJW3003,Withrow,Jack J,45,Fat:moderate; E:2x1; SK:oss.; Molt:a few body;,one of several in beach grass; gut saved; prep. 8 Dec 2015;,1230,,WCH:82.8; TL:82.1; TS:26.0; BL:12.0; BLH:6.6; BLW:6.5; SKL:38.7;,Z65c050,,,,
29537,Melospiza,melodia,insignis,,U,F,16 Dec 2011,USA,Alaska,Kodiak Archipelag,Cliff Point,Withrow,Jack J,JJW1330,Withrow,Jack J,43,Fat:heavy; OV:5x4; SK:100% oss.;,lone bird on beach; prep. 2 Mar 2012;,1020,,WCH:79.2; TL:74.4; TS:25.5; BL:11.7; BLH:6.4; BLW:5.4; SKL:38.3;,Z65c050,,,,
29538,Melospiza,melodia,insignis,,U,F?,16 Dec 2011,USA,Alaska,Kodiak Archipelag,Cliff Point,Withrow,Jack J,JJW1329,Withrow,Jack J,48,Fat:heavy; SK:100% oss.; OV:??;,lone bird on beach; prep. 23 Feb 2012;,1020,,WCH:82.3; TL:78.6; TS:24.6; BL:11.6; BLH:7.3; BLW:5.2; SKL:37.3;,Z65c050,,,,
